feedback_text,feedback_timestamp,menu_item,meal_time
"Neither good nor bad, just normal.",2024-07-09T00:00:00,Gulab Jamun,Dinner
The meal was light and refreshing.,2025-09-25T00:00:00,Ice Cream,Breakfast
The meal was okay.,2024-03-25T00:00:00,Paneer Curry,Lunch
"Fresh and tasty, good job by the kitchen.",2025-12-29T00:00:00,Roti,Lunch
Good quality and well cooked.,2025-01-04T00:00:00,Curd Rice,Dinner
The food tasted great today.,2024-11-11T00:00:00,Sambar Rice,Breakfast
The meal was light and refreshing.,2024-10-03T00:00:00,Bonda,Snacks
The food tasted great today.,2024-07-10T00:00:00,Sambar Rice,Lunch
Decent meal overall.,2025-07-22T00:00:00,Uggani,Dinner
The food tasted great today.,2024-01-27T00:00:00,Fish Curry,Dinner
Portion size was perfect and taste was nice.,2024-04-05T00:00:00,Pongal,Snacks
The meal was okay.,2024-10-25T00:00:00,Samosa,Dinner
The meal was okay.,2026-01-12T00:00:00,Uggani,Dinner
Portion size was perfect and taste was nice.,2025-06-17T00:00:00,Mutton Curry,Lunch
"Really enjoyed the meal, it was delicious.",2024-05-22T00:00:00,Veg Curry,Dinner
Good quality and well cooked.,2025-05-19T00:00:00,Roti,Snacks
"Really enjoyed the meal, it was delicious.",2025-03-21T00:00:00,Curd Rice,Breakfast
"It was fine, could be better.",2025-05-10T00:00:00,Roti,Dinner
Good quality and well cooked.,2024-09-09T00:00:00,Pongal,Snacks
"Fresh and tasty, good job by the kitchen.",2024-04-19T00:00:00,Vada,Lunch
The food tasted great today.,2025-02-09T00:00:00,Curd Rice,Snacks
The meal was light and refreshing.,2024-12-03T00:00:00,Samosa,Dinner
"Fresh and tasty, good job by the kitchen.",2025-10-28T00:00:00,Bonda,Snacks
"It was fine, could be better.",2025-09-09T00:00:00,Curd Rice,Snacks
Good quality and well cooked.,2024-06-30T00:00:00,Chicken Biryani,Dinner
Good quality and well cooked.,2026-01-22T00:00:00,Ice Cream,Snacks
Good quality and well cooked.,2025-01-20T00:00:00,Vada,Lunch
Good quality and well cooked.,2024-04-26T00:00:00,Roti,Dinner
Decent meal overall.,2024-01-28T00:00:00,Chicken Biryani,Lunch
"Fresh and tasty, good job by the kitchen.",2024-10-25T00:00:00,Bonda,Lunch
"Amazing flavors, I loved the taste.",2025-05-26T00:00:00,Pongal,Dinner
"Really enjoyed the meal, it was delicious.",2024-09-15T00:00:00,Curd Rice,Snacks
The meal was light and refreshing.,2025-01-21T00:00:00,Curd Rice,Dinner
Portion size was perfect and taste was nice.,2025-05-05T00:00:00,Pongal,Dinner
The overall quality was poor today.,2024-02-07T00:00:00,Ice Cream,Dinner
The food tasted great today.,2026-02-26T00:00:00,Gulab Jamun,Breakfast
"Really enjoyed the meal, it was delicious.",2025-10-24T00:00:00,Veg Biryani,Snacks
The meal was light and refreshing.,2024-12-05T00:00:00,Dosa,Dinner
The meal was okay.,2024-04-10T00:00:00,Uggani,Breakfast
Portion size was perfect and taste was nice.,2026-02-03T00:00:00,Roti,Lunch
"Fresh and tasty, good job by the kitchen.",2025-01-18T00:00:00,Fish Curry,Lunch
The meal was light and refreshing.,2025-11-26T00:00:00,Ice Cream,Dinner
"It was fine, could be better.",2024-01-26T00:00:00,Fish Curry,Lunch
Good quality and well cooked.,2025-03-01T00:00:00,Vada,Breakfast
The meal was light and refreshing.,2026-01-17T00:00:00,Pongal,Breakfast
Good quality and well cooked.,2024-12-17T00:00:00,Curd Rice,Snacks
Portion size was perfect and taste was nice.,2025-05-09T00:00:00,Bonda,Lunch
The meal was okay.,2025-03-24T00:00:00,Gulab Jamun,Dinner
The food tasted great today.,2024-11-03T00:00:00,Bonda,Snacks
The food tasted great today.,2024-12-17T00:00:00,Dosa,Breakfast
"Amazing flavors, I loved the taste.",2024-09-06T00:00:00,Sambar Rice,Lunch
The overall quality was poor today.,2024-06-12T00:00:00,Fish Curry,Lunch
"Fresh and tasty, good job by the kitchen.",2024-08-25T00:00:00,Samosa,Dinner
"Really enjoyed the meal, it was delicious.",2025-10-17T00:00:00,Ice Cream,Lunch
The food tasted great today.,2026-01-25T00:00:00,Uggani,Dinner
Decent meal overall.,2025-03-15T00:00:00,Chicken Biryani,Dinner
"Amazing flavors, I loved the taste.",2024-08-07T00:00:00,Ice Cream,Breakfast
The meal was okay.,2025-08-14T00:00:00,Chicken Biryani,Snacks
Good quality and well cooked.,2024-11-29T00:00:00,Sambar Rice,Lunch
The food tasted great today.,2024-09-25T00:00:00,Chicken Biryani,Dinner
Portion size was perfect and taste was nice.,2025-02-01T00:00:00,Vada,Snacks
"It was fine, could be better.",2024-12-26T00:00:00,Ice Cream,Breakfast
The meal was light and refreshing.,2025-11-20T00:00:00,Bonda,Lunch
"Amazing flavors, I loved the taste.",2024-05-17T00:00:00,Paneer Curry,Breakfast
"Taste was average, nothing special.",2024-11-08T00:00:00,Samosa,Breakfast
Good quality and well cooked.,2025-12-11T00:00:00,Sambar Rice,Lunch
"Fresh and tasty, good job by the kitchen.",2025-09-02T00:00:00,Curd Rice,Dinner
"Fresh and tasty, good job by the kitchen.",2024-07-09T00:00:00,Curd Rice,Dinner
Portion size was perfect and taste was nice.,2024-06-19T00:00:00,Vada,Lunch
"Really enjoyed the meal, it was delicious.",2024-07-10T00:00:00,Vada,Snacks
Portion size was perfect and taste was nice.,2024-02-24T00:00:00,Samosa,Dinner
"Fresh and tasty, good job by the kitchen.",2024-05-19T00:00:00,Gulab Jamun,Breakfast
Decent meal overall.,2025-06-01T00:00:00,Chicken Biryani,Dinner
"Neither good nor bad, just normal.",2025-03-01T00:00:00,Vada,Dinner
"Really enjoyed the meal, it was delicious.",2024-03-25T00:00:00,Bonda,Dinner
Good quality and well cooked.,2024-02-03T00:00:00,Idli,Lunch
Portion size was perfect and taste was nice.,2024-10-22T00:00:00,Roti,Lunch
Portion size was perfect and taste was nice.,2026-01-30T00:00:00,Veg Curry,Dinner
Portion size was perfect and taste was nice.,2024-04-26T00:00:00,Vada,Breakfast
Portion size was perfect and taste was nice.,2026-02-13T00:00:00,Roti,Snacks
